index,timestamp
1,1528015362930
2,1528015368657
3,1528015373156
4,1528015375469
5,1528015377680
6,1528015381171
7,1528015383473
8,1528015396807
9,1528015401877
10,1528015404554
11,1528015406805
12,1528015409132
13,1528015412056
14,1528015420052
15,1528015422749
16,1528015425645
17,1528015430273
18,1528015433452
19,1528015439203
20,1528015448094
21,1528015452166
22,1528015457620
23,1528015460825
24,1528015464017
25,1528015467700
26,1528015473838
27,1528015478541
28,1528015484524
29,1528015486825
30,1528015490314
31,1528015497990
32,1528015505964
33,1528015509389
34,1528015513692
35,1528015516935
36,1528015522066
37,1528015524689
38,1528015527713
39,1528015532313
40,1528015535247
41,1528015538787
42,1528015543285
43,1528015548285
44,1528015550844
45,1528015553739
46,1528015556853
47,1528015559179
48,1528015568535
49,1528015582788
50,1528015586549
51,1528015589315
52,1528015594290
53,1528015598141
54,1528015609746
55,1528015657883
56,1528015663298
57,1528015666051
58,1528015670445
59,1528015675201
60,1528015681326
61,1528015689467
62,1528015692556
63,1528015695516
64,1528015698113
65,1528015703127
66,1528015706008
67,1528015708645
