timestamp,gyro_z
38014804.517,-1.9864807
38014804.522,-1.911911
38014804.526,-1.947052
38014804.536,-1.7617035
38014804.541,-1.75531
38014804.546,-1.6924591
38014804.551,-1.6658325
38014804.556,-1.6487885
38014804.561,-1.7180328
38014804.566,-1.8298798
38014804.57,-1.9353485
38014804.575,-1.9715576
38014804.581,-1.9406738
38014804.586,-1.8778229
38014804.59,-1.8565063
38014804.596,-1.8117676
38014804.6,-1.9246826
38014804.606,-1.9183044
38014804.61,-1.8117676
38014804.615,-1.7414703
38014804.619,-1.6562347
38014804.626,-1.531601
38014804.63,-1.4847412
38014804.635,-1.5752869
38014804.639,-1.6988525
38014804.645,-1.7276154
38014804.649,-1.752121
38014804.655,-1.7073822
38014804.658,-1.6391907
38014804.665,-1.6029816
38014804.668,-1.5422516
38014804.675,-1.5625
38014804.677,-1.5720825
38014804.684,-1.5688934
38014804.687,-1.5710144
38014804.694,-1.5284119
38014804.697,-1.5667572
38014804.703,-1.5870056
38014804.707,-1.5667572
38014804.712,-1.5699615
38014804.717,-1.5475922
38014804.722,-1.5369263
38014804.727,-1.6221466
38014804.733,-1.6679535
38014804.738,-1.7435913
38014804.747,-1.5625
38014804.757,-1.3430481
38014804.763,-1.2844696
38014804.768,-1.2429199
38014804.772,-1.2621002
38014804.777,-1.2972412
38014804.781,-1.3345337
38014804.786,-1.3760834
38014804.791,-1.3153534
38014804.796,-1.2887268
38014804.802,-1.2375946
38014804.807,-1.353714
38014804.812,-1.3718109
38014804.817,-1.4101715
38014804.821,-1.3941803
38014804.827,-1.3164215
38014804.831,-1.3164215
38014804.836,-1.2216187
38014804.84,-1.1779327
38014804.846,-1.1534424
38014804.85,-1.1246796
38014804.855,-1.0692749
38014804.86,-1.0447845
38014804.865,-1.0746002
38014804.869,-1.0309296
38014804.875,-0.9925842
38014804.879,-1.0074921
38014804.885,-1.0256042
38014804.889,-1.1321259
38014804.895,-1.2397308
38014804.899,-1.4016418
38014804.904,-1.4921875
38014804.909,-1.513504
38014804.914,-1.515625
38014804.919,-1.4346619
38014804.924,-1.3313293
38014804.929,-1.1928558
38014804.935,-1.0905914
38014804.94,-1.0852661
38014804.945,-1.1214752
38014804.948,-1.2066956
38014804.959,-1.3664856
38014804.968,-1.3845978
38014804.973,-1.3334656
38014804.977,-1.3270721
38014804.982,-1.2961884
38014804.987,-1.2194824
38014804.992,-1.1268005
38014804.997,-1.0192108
38014805.002,-0.8700714
38014805.006,-0.74331665
38014805.012,-0.5877838
38014805.017,-0.559021
38014805.022,-0.42478943
38014805.032,-0.42373657
38014805.032,-0.32998657
38014805.037,-0.31080627
38014805.041,-0.20109558
38014805.046,-0.1680603
38014805.051,-0.057281494
38014805.056,-0.03916931
38014805.061,-0.009338379
38014805.066,-0.05407715
38014805.071,-0.05621338
38014805.075,-0.14463806
38014805.08,-0.15847778
38014805.085,-0.24157715
38014805.09,-0.21920776
38014805.095,-0.27459717
38014805.1,-0.19577026
38014805.105,-0.18191528
38014805.11,-0.09030151
38014805.115,-0.051956177
38014805.121,0.05883789
38014805.126,0.08653259
38014805.13,0.13873291
38014805.136,0.11103821
38014805.14,0.1334076
38014805.146,0.08227539
38014805.15,0.10890198
38014805.155,0.043914795
38014805.16,0.06416321
38014805.17,0.039657593
38014805.181,0.015151978
38014805.186,0.0066375732
38014805.191,0.02368164
38014805.195,0.030075073
38014805.199,0.026870728
38014805.206,0.022613525
38014805.21,-0.006149292
38014805.214,-0.019989014
38014805.22,-0.07432556
38014805.224,-0.08178711
38014805.23,-0.08604431
38014805.235,-0.09350586
38014805.24,-0.07858276
38014805.245,-0.08816528
38014805.25,-0.07432556
38014805.255,-0.082839966
38014805.26,-0.082839966
38014805.263,-0.08604431
38014805.269,-0.082839966
38014805.274,-0.08711243
38014805.28,-0.092437744
38014805.284,-0.10308838
38014805.289,-0.092437744
38014805.293,-0.10734558
38014805.298,-0.08711243
38014805.304,-0.09883118
38014805.308,-0.05621338
38014805.312,-0.059417725
38014805.319,-0.05088806
38014805.322,-0.02532959
38014805.328,-0.035980225
38014805.331,-0.030654907
38014805.338,-0.04663086
38014805.342,-0.047698975
38014805.348,-0.04663086
38014805.352,-0.07325745
38014805.357,-0.07751465
38014805.363,-0.0657959
38014805.368,-0.09030151
38014805.373,-0.07006836
38014805.376,-0.05621338
38014805.383,-0.03491211
38014805.392,0.019424438
38014805.397,-0.0029449463
38014805.402,0.00982666
38014805.406,0.06416321
38014805.412,0.013031006
38014805.417,0.0013122559
38014805.421,0.02368164
38014805.425,-0.01361084
38014805.432,-0.06686401
38014805.437,-0.051956177
38014805.442,-0.09669495
38014805.446,-0.12120056
38014805.451,-0.11160278
38014805.46,-0.104156494
38014805.46,-0.08178711
38014805.465,-0.071121216
38014805.47,-0.03703308
38014805.476,-0.03916931
38014805.481,-0.031707764
38014805.486,-0.017868042
38014805.49,-0.016799927
38014805.494,-0.016799927
38014805.501,-0.030654907
38014805.505,-0.03703308
38014805.511,-0.07646179
38014805.515,-0.09988403
38014805.521,-0.10948181
38014805.525,-0.069000244
38014805.529,-0.07751465
38014805.534,-0.10095215
38014805.54,-0.07858276
38014805.543,-0.05834961
38014805.55,-0.0657959
38014805.554,-0.08711243
38014805.56,-0.040237427
38014805.563,-0.049819946
38014805.569,-0.09030151
38014805.574,-0.1318512
38014805.579,-0.08711243
38014805.584,-0.07858276
38014805.588,-0.07432556
38014805.593,-0.07965088
38014805.603,-0.11906433
38014805.614,-0.094558716
38014805.619,-0.03916931
38014805.624,-0.07965088
38014805.628,-0.031707764
38014805.634,-0.016799927
38014805.638,-0.027450562
38014805.643,0.0066375732
38014805.648,-0.0029449463
38014805.653,0.020477295
38014805.658,-0.009338379
38014805.663,-0.012542725
38014805.667,-0.015731812
38014805.672,-0.047698975
38014805.677,-0.041305542
38014805.683,-0.03916931
38014805.688,-0.009338379
38014805.693,-0.0050811768
38014805.697,-0.01361084
38014805.702,0.022613525
38014805.707,0.0077056885
38014805.712,0.00024414063
38014805.717,0.016220093
38014805.723,-0.008285522
38014805.727,-0.008285522
38014805.732,0.011962891
38014805.737,-0.027450562
38014805.742,-0.043426514
38014805.746,-0.057281494
38014805.751,-0.055145264
38014805.755,-0.0029449463
38014805.761,0.0066375732
38014805.764,-0.02532959
38014805.771,-0.045562744
38014805.776,-0.061538696
38014805.781,-0.061538696
38014805.786,-0.0018920898
38014805.791,0.013031006
38014805.795,-0.031707764
38014805.801,-0.08390808
38014805.806,-0.07858276
38014805.816,-0.06367493
38014805.825,0.0066375732
38014805.83,-0.0657959
38014805.835,-0.10308838
38014805.839,-0.07539368
38014805.845,-0.07432556
38014805.85,-0.04875183
38014805.855,0.027938843
38014805.86,0.05456543
38014805.865,0.019424438
38014805.869,-0.06686401
38014805.875,-0.06793213
38014805.879,-0.042373657
38014805.884,-0.040237427
38014805.889,0.002380371
38014805.897,0.041793823
38014805.905,0.032196045
38014805.909,-0.019989014
38014805.914,-0.071121216
38014805.919,-0.049819946
38014805.924,0.0034332275
38014805.928,-0.0040130615
38014805.933,-0.030654907
38014805.937,-0.02532959
38014805.944,-0.021057129
38014805.948,-0.014663696
38014805.953,-0.017868042
38014805.956,-0.051956177
38014805.963,-0.08604431
38014805.966,-0.082839966
38014805.973,-0.043426514
38014805.976,-0.0040130615
38014805.983,0.0013122559
38014805.987,-0.0040130615
38014805.993,0.0077056885
38014805.997,0.029006958
38014806.002,0.022613525
38014806.007,0.013031006
38014806.012,0.0013122559
38014806.017,-0.021057129
38014806.021,-0.038101196
38014806.027,-0.043426514
38014806.037,-0.035980225
38014806.042,-0.0008239746
38014806.046,0.019424438
38014806.052,0.011962891
38014806.057,0.0013122559
38014806.062,-0.01361084
38014806.066,-0.038101196
38014806.07,-0.041305542
38014806.075,-0.029586792
38014806.081,-0.022125244
38014806.086,-0.01361084
38014806.091,0.016220093
38014806.096,0.04498291
38014806.101,0.04286194
38014806.106,0.004501343
38014806.109,-0.04663086
38014806.116,-0.06686401
38014806.12,-0.04663086
38014806.126,-0.014663696
38014806.13,0.00024414063
38014806.136,-0.0018920898
38014806.14,-0.010406494
38014806.145,-0.0040130615
38014806.15,0.0034332275
38014806.156,0.002380371
38014806.16,-0.010406494
38014806.166,-0.03491211
38014806.17,-0.047698975
38014806.175,-0.027450562
38014806.178,0.013031006
38014806.185,0.034332275
38014806.189,0.027938843
38014806.193,0.0066375732
38014806.198,-0.011474609
38014806.205,-0.008285522
38014806.207,0.004501343
38014806.213,0.016220093
38014806.219,0.018356323
38014806.224,0.019424438
38014806.229,0.015151978
38014806.234,0.0077056885
38014806.239,0.005569458
38014806.249,0.008773804
38014806.259,0.0066375732
38014806.263,0.00024414063
38014806.268,-0.006149292
38014806.272,-0.0040130615
38014806.278,-0.0008239746
38014806.283,0.0013122559
38014806.288,0.0034332275
38014806.293,0.002380371
38014806.298,0.00024414063
38014806.302,-0.0040130615
38014806.308,-0.0029449463
38014806.312,-0.0008239746
38014806.318,0.002380371
38014806.322,0.0013122559
38014806.327,0.00024414063
38014806.332,-0.0008239746
38014806.337,-0.0029449463
38014806.342,-0.0018920898
38014806.347,-0.0018920898
38014806.351,-0.0040130615
38014806.357,-0.0029449463
38014806.362,-0.0029449463
38014806.367,-0.0008239746
38014806.371,-0.0018920898
38014806.377,0.0013122559
38014806.381,0.002380371
38014806.387,0.0013122559
38014806.391,0.00024414063
38014806.396,0.0013122559
38014806.4,0.002380371
38014806.407,0.0034332275
38014806.409,0.002380371
38014806.415,0.002380371
38014806.42,0.002380371
38014806.426,0.00024414063
38014806.43,-0.0018920898
38014806.435,-0.0018920898
38014806.44,-0.0008239746
38014806.444,-0.0008239746
38014806.45,-0.0008239746
38014806.46,-0.0040130615
38014806.469,-0.0008239746
38014806.473,0.0013122559
38014806.48,0.0013122559
38014806.485,0.0013122559
38014806.489,0.0013122559
38014806.493,0.00024414063
38014806.5,0.00024414063
38014806.504,0.0013122559
38014806.509,0.002380371
38014806.513,0.0013122559
38014806.519,-0.0008239746
38014806.524,-0.0029449463
38014806.528,-0.0018920898
38014806.532,-0.0018920898
38014806.537,-0.0008239746
38014806.544,0.00024414063
38014806.549,0.00024414063
38014806.553,-0.0029449463
38014806.559,-0.0018920898
38014806.563,0.00024414063
38014806.568,0.002380371
38014806.573,0.0013122559
38014806.579,0.002380371
38014806.582,0.0013122559
38014806.589,0.00024414063
38014806.593,-0.0008239746
38014806.599,0.00024414063
38014806.603,-0.0018920898
38014806.608,0.00024414063
38014806.613,0.00024414063
38014806.617,-0.0008239746
38014806.621,-0.0008239746
38014806.628,-0.0018920898
38014806.634,0.00024414063
38014806.636,0.00024414063
38014806.642,-0.0018920898
38014806.647,-0.0008239746
38014806.652,0.00024414063
38014806.657,-0.0008239746
38014806.662,0.0013122559
38014806.667,0.00024414063
38014806.671,0.0013122559
38014806.682,0.00024414063
38014806.686,-0.0008239746
38014806.691,0.00024414063
38014806.696,0.0013122559
38014806.701,0.0013122559
38014806.706,0.00024414063
38014806.711,0.00024414063
38014806.716,-0.0008239746
38014806.721,0.00024414063
38014806.726,-0.0008239746
38014806.731,0.00024414063
38014806.735,0.0013122559
38014806.74,0.00024414063
38014806.745,-0.0008239746
38014806.751,0.00024414063
38014806.754,0.00024414063
38014806.759,-0.010406494
38014806.763,-0.041305542
38014806.77,-0.030654907
38014806.775,0.025817871
38014806.78,0.049240112
38014806.784,-0.015731812
38014806.788,-0.010406494
38014806.793,-0.01361084
38014806.8,-0.0892334
38014806.805,-0.06793213
38014806.809,-0.06474304
38014806.814,-0.080718994
38014806.819,-0.03277588
38014806.824,-0.05834961
38014806.829,-0.05088806
38014806.832,-0.041305542
38014806.838,-0.038101196
38014806.842,-0.026382446
38014806.849,-0.051956177
38014806.852,-0.018936157
38014806.858,-0.016799927
38014806.862,-0.038101196
38014806.868,-0.04663086
38014806.872,-0.035980225
38014806.878,-0.06260681
38014806.882,-0.06793213
38014806.893,-0.01361084
38014806.903,-0.045562744
38014806.908,-0.04663086
38014806.912,-0.07965088
38014806.917,-0.09883118
38014806.923,-0.104156494
38014806.927,-0.12013245
38014806.932,-0.12652588
38014806.936,-0.127594
38014806.942,-0.12332153
38014806.946,-0.16273499
38014806.951,-0.17658997
38014806.956,-0.16593933
38014806.961,-0.1914978
38014806.966,-0.16061401
38014806.971,-0.14143372
38014806.976,-0.10948181
38014806.981,-0.104156494
38014806.986,-0.12438965
38014806.991,-0.09988403
38014806.996,-0.07965088
38014807.0,-0.06047058
38014807.005,-0.10522461
38014807.01,-0.1084137
38014807.015,-0.11373901
38014807.02,-0.08711243
38014807.024,-0.08390808
38014807.03,-0.0657959
38014807.034,-0.043426514
38014807.04,-0.047698975
38014807.044,-0.040237427
38014807.049,-0.02532959
38014807.054,-0.0008239746
38014807.06,-0.05088806
38014807.064,-0.106277466
38014807.069,-0.19895935
38014807.074,-0.19363403
38014807.079,-0.18405151
38014807.084,-0.20535278
38014807.089,-0.18830872
38014807.094,-0.16912842
38014807.105,-0.15208435
38014807.115,-0.10734558
38014807.119,-0.09562683
38014807.125,-0.092437744
38014807.129,-0.09030151
38014807.135,-0.04663086
38014807.139,-0.040237427
38014807.143,0.0066375732
38014807.148,-0.0050811768
38014807.154,0.024749756
38014807.159,0.03540039
38014807.163,0.049240112
38014807.168,0.040725708
38014807.174,0.00982666
38014807.178,0.008773804
38014807.184,-0.009338379
38014807.188,0.02154541
38014807.194,-0.02319336
38014807.198,-0.01361084
38014807.203,-0.07965088
38014807.208,-0.08604431
38014807.213,-0.07858276
38014807.218,-0.104156494
38014807.223,-0.03703308
38014807.228,-0.059417725
38014807.232,-0.02319336
38014807.236,-0.07539368
38014807.243,-0.03491211
38014807.247,-0.09350586
38014807.252,-0.03491211
38014807.257,-0.09669495
38014807.261,-0.061538696
38014807.265,-0.09136963
38014807.271,-0.029586792
38014807.275,-0.026382446
38014807.282,0.040725708
38014807.286,0.025817871
38014807.291,0.07695007
38014807.296,0.06416321
38014807.301,0.10144043
38014807.305,0.10890198
38014807.31,0.13552856
38014807.316,0.1611023
38014807.326,0.13446045
38014807.331,0.088653564
38014807.336,0.079071045
38014807.34,0.03326416
38014807.346,0.004501343
38014807.351,-0.027450562
38014807.356,-0.06474304
38014807.36,-0.051956177
38014807.366,-0.0892334
38014807.37,-0.061538696
38014807.375,-0.10202026
38014807.38,-0.08711243
38014807.385,-0.12120056
38014807.39,-0.11373901
38014807.395,-0.1126709
38014807.399,-0.1084137
38014807.404,-0.08178711
38014807.41,-0.06367493
38014807.415,-0.02319336
38014807.419,-0.018936157
38014807.425,0.020477295
38014807.429,0.059906006
38014807.433,0.050308228
