Error(m)
0.0
0.045
0.1
0.296
1.149
1.305
1.141
1.141
0.175
0.683
1.091
1.407
1.63
1.851
2.061
2.26
2.789
3.011
3.204
3.337
3.364
3.429
3.418
3.426
3.373
2.998
2.918
2.873
2.885
2.944
3.058
3.36
4.098
0.236
0.498
0.71
0.974
1.161
1.376
1.783
1.961
2.163
2.39
2.516
2.709
2.843
2.978
3.146
3.359
3.433
3.541
3.625
3.746
3.762
3.8
3.85
3.87
3.981
4.069
4.209
4.143
4.229
4.387
4.486
4.525
4.66
4.798
4.949
5.184
5.282
5.338
5.451
5.533
0.124
0.238
0.364
0.48
0.528
0.608
0.723
0.84
0.97
1.094
1.285
1.372
1.456
1.567
1.691
1.813
1.932
2.039
2.153
2.264
2.376
2.488
2.643
2.764
2.892
3.022
