index,timestamp
1,1528014750077
2,1528014754324
3,1528014756802
4,1528014759590
5,1528014775955
6,1528014784670
7,1528014804106
8,1528014807916
9,1528014810925
10,1528014813869
11,1528014815819
12,1528014818842
13,1528014821489
14,1528014823672
15,1528014833746
16,1528014837647
17,1528014840707
18,1528014847229
19,1528014850071
20,1528014859627
21,1528014862352
22,1528014865064
23,1528014868771
24,1528014877269
25,1528014880214
26,1528014883185
27,1528014885794
28,1528014889604
29,1528014897095
30,1528014900286
31,1528014906473
32,1528014910115
33,1528014918832
34,1528014927937
35,1528014934047
36,1528014936863
37,1528014940531
38,1528014943205
39,1528014946227
40,1528014951458
41,1528014953692
42,1528014956405
43,1528014961674
44,1528014963806
45,1528014969553
46,1528014972523
47,1528014974990
48,1528014978142
49,1528014985156
50,1528014988243
51,1528014994754
52,1528014998164
53,1528015006110
54,1528015012723
55,1528015015449
56,1528015018097
57,1528015022929
58,1528015025268
59,1528015030410
60,1528015032760
61,1528015041261
62,1528015046854
63,1528015049684
64,1528015054334
65,1528015057474
66,1528015060587
67,1528015063636
68,1528015068093
69,1528015072575
70,1528015076891
71,1528015083543
72,1528015088027
73,1528015098414
74,1528015103971
75,1528015108481
76,1528015112357
77,1528015116841
78,1528015119502
79,1528015127435
80,1528015130253
81,1528015132881
82,1528015140193
83,1528015143022
84,1528015155521
85,1528015159489
86,1528015162008
87,1528015166380
88,1528015169353
89,1528015173075
90,1528015175428
91,1528015177911
92,1528015179914
93,1528015185201
94,1528015187670
95,1528015194338
96,1528015197170
97,1528015202819
98,1528015205379
99,1528015208764
