timestamp,acce_x
38014748.646,-0.2059021
38014748.651,-0.22026062
38014748.656,-0.25857544
38014748.661,-0.27053833
38014748.666,-0.26335144
38014748.671,-0.21786499
38014748.676,-0.23223877
38014748.682,-0.24899292
38014748.688,-0.24420166
38014748.691,-0.23461914
38014748.697,-0.2394104
38014748.701,-0.22026062
38014748.706,-0.18673706
38014748.71,-0.21307373
38014748.717,-0.21546936
38014748.719,-0.23223877
38014748.724,-0.2561798
38014748.729,-0.22505188
38014748.734,-0.19152832
38014748.739,-0.25378418
38014748.744,-0.24420166
38014748.75,-0.2561798
38014748.754,-0.24180603
38014748.759,-0.23223877
38014748.765,-0.21786499
38014748.769,-0.21546936
38014748.773,-0.2059021
38014748.779,-0.25378418
38014748.785,-0.24180603
38014748.789,-0.23223877
38014748.793,-0.28012085
38014748.799,-0.2561798
38014748.803,-0.22505188
38014748.808,-0.27053833
38014748.814,-0.25138855
38014748.823,-0.24659729
38014748.834,-0.2609558
38014748.838,-0.25378418
38014748.843,-0.24899292
38014748.848,-0.24659729
38014748.853,-0.28489685
38014748.858,-0.23461914
38014748.865,-0.19631958
38014748.868,-0.2609558
38014748.873,-0.24659729
38014748.877,-0.27293396
38014748.883,-0.22026062
38014748.887,-0.21786499
38014748.892,-0.22984314
38014748.897,-0.22744751
38014748.902,-0.23461914
38014748.906,-0.22265625
38014748.911,-0.23223877
38014748.916,-0.22744751
38014748.921,-0.24899292
38014748.926,-0.23461914
38014748.931,-0.22744751
38014748.936,-0.23701477
38014748.941,-0.21786499
38014748.947,-0.2681427
38014748.952,-0.25857544
38014748.955,-0.25857544
38014748.96,-0.24420166
38014748.965,-0.24659729
38014748.97,-0.23223877
38014748.975,-0.2609558
38014748.981,-0.27053833
38014748.985,-0.23223877
38014748.99,-0.23461914
38014748.995,-0.22026062
38014749.001,-0.24899292
38014749.005,-0.24899292
38014749.01,-0.23461914
38014749.015,-0.25138855
38014749.02,-0.2753296
38014749.025,-0.22505188
38014749.031,-0.24420166
38014749.04,-0.25378418
38014749.045,-0.24420166
38014749.051,-0.22505188
38014749.056,-0.23701477
38014749.06,-0.2609558
38014749.065,-0.25378418
38014749.07,-0.24180603
38014749.075,-0.24899292
38014749.078,-0.21786499
38014749.084,-0.22026062
38014749.089,-0.23461914
38014749.093,-0.23701477
38014749.099,-0.27053833
38014749.103,-0.20350647
38014749.108,-0.27293396
38014749.113,-0.23223877
38014749.118,-0.25857544
38014749.123,-0.22265625
38014749.128,-0.23701477
38014749.133,-0.2394104
38014749.138,-0.21546936
38014749.143,-0.2561798
38014749.149,-0.25378418
38014749.153,-0.25378418
38014749.158,-0.25857544
38014749.163,-0.21546936
38014749.168,-0.22984314
38014749.173,-0.23701477
38014749.177,-0.22744751
38014749.184,-0.25378418
38014749.187,-0.26335144
38014749.193,-0.23461914
38014749.198,-0.22505188
38014749.202,-0.22265625
38014749.207,-0.2106781
38014749.212,-0.2394104
38014749.218,-0.22984314
38014749.221,-0.24659729
38014749.226,-0.22984314
38014749.231,-0.23461914
38014749.236,-0.26335144
38014749.241,-0.24420166
38014749.247,-0.23461914
38014749.256,-0.22744751
38014749.266,-0.20111084
38014749.271,-0.23223877
38014749.275,-0.22744751
38014749.281,-0.22265625
38014749.286,-0.2561798
38014749.29,-0.2394104
38014749.296,-0.24180603
38014749.302,-0.25138855
38014749.305,-0.2106781
38014749.31,-0.24899292
38014749.316,-0.21786499
38014749.32,-0.22265625
38014749.325,-0.21307373
38014749.33,-0.23701477
38014749.335,-0.27772522
38014749.34,-0.23223877
38014749.345,-0.25138855
38014749.35,-0.2561798
38014749.355,-0.24899292
38014749.359,-0.24899292
38014749.364,-0.24899292
38014749.369,-0.2106781
38014749.374,-0.22505188
38014749.379,-0.25138855
38014749.385,-0.22505188
38014749.389,-0.24899292
38014749.394,-0.23701477
38014749.399,-0.2681427
38014749.406,-0.2681427
38014749.409,-0.25857544
38014749.414,-0.26574707
38014749.418,-0.22984314
38014749.423,-0.24899292
38014749.428,-0.2609558
38014749.433,-0.23701477
38014749.438,-0.25857544
38014749.443,-0.22505188
38014749.448,-0.26335144
38014749.453,-0.24659729
38014749.458,-0.26335144
38014749.468,-0.2394104
38014749.478,-0.20828247
38014749.482,-0.27772522
38014749.488,-0.23223877
38014749.492,-0.2561798
38014749.497,-0.25378418
38014749.502,-0.23701477
38014749.508,-0.20828247
38014749.513,-0.25378418
38014749.518,-0.22744751
38014749.522,-0.22505188
38014749.527,-0.21546936
38014749.532,-0.27053833
38014749.537,-0.24420166
38014749.542,-0.22744751
38014749.547,-0.26574707
38014749.552,-0.22265625
38014749.557,-0.27293396
38014749.561,-0.23223877
38014749.566,-0.22744751
38014749.571,-0.24420166
38014749.576,-0.23701477
38014749.58,-0.18434143
38014749.586,-0.21546936
38014749.59,-0.2106781
38014749.596,-0.22744751
38014749.6,-0.26574707
38014749.606,-0.27772522
38014749.61,-0.19392395
38014749.615,-0.24420166
38014749.621,-0.24420166
