index,timestamp
1,1528015826139
2,1528015831605
3,1528015836024
4,1528015838311
5,1528015840702
6,1528015846169
7,1528015853575
8,1528015859364
9,1528015864547
10,1528015871319
11,1528015875338
12,1528015880314
13,1528015885276
14,1528015892230
15,1528015895461
16,1528015900062
17,1528015908047
18,1528015920209
19,1528015924564
20,1528015932447
21,1528015937953
22,1528015946225
23,1528015957302
24,1528015961644
25,1528015967590
26,1528015972877
27,1528015985104
28,1528015998300
29,1528016002333
30,1528016006857
31,1528016011123
32,1528016017482
33,1528016021075
34,1528016025896
35,1528016031700
36,1528016035953
37,1528016040207
38,1528016042584
39,1528016047160
40,1528016050159
41,1528016060279
42,1528016065423
43,1528016071071
44,1528016075245
45,1528016078102
46,1528016080919
47,1528016083659
48,1528016090212
49,1528016096545
50,1528016104533
51,1528016108501
52,1528016114266
53,1528016117406
54,1528016120328
55,1528016123081
56,1528016125821
57,1528016128574
58,1528016131470
59,1528016133978
60,1528016137816
61,1528016156811
62,1528016160947
63,1528016167436
64,1528016169129
65,1528016170823
66,1528016172567
67,1528016177104
68,1528016184536
69,1528016187160
70,1528016188995
71,1528016191736
72,1528016197061
