timestamp,acce_x
38016150.634,1.2785034
38016150.639,4.912903
38016150.644,-3.059784
38016150.649,-0.08378601
38016150.653,-4.141968
38016150.658,-2.573761
38016150.663,-3.0119019
38016150.668,-4.412506
38016150.673,-1.8411407
38016150.678,-3.7780457
38016150.683,-1.6448059
38016150.687,-3.8762054
38016150.691,0.3615265
38016150.696,-2.7748718
38016150.703,-3.7612915
38016150.708,-3.1986542
38016150.712,-2.6312256
38016150.717,-1.4173584
38016150.722,-4.3622284
38016150.727,0.03112793
38016150.732,-3.744522
38016150.737,-1.8028259
38016150.74,2.655182
38016150.747,-1.103714
38016150.75,-0.5530548
38016150.757,-0.58418274
38016150.76,-1.2306213
38016150.767,-2.7413483
38016150.77,-3.727768
38016150.775,0.06704712
38016150.781,-5.9232483
38016150.785,-1.154007
38016150.791,-0.49798584
38016150.795,-4.3263245
38016150.8,0.7062988
38016150.812,-4.1132355
38016150.819,-6.9790955
38016150.825,-0.48362732
38016150.829,-3.4284973
38016150.834,-4.4723663
38016150.839,-0.73501587
38016150.844,-6.1363373
38016150.849,2.0254974
38016150.853,-5.41568
38016150.859,-0.375885
38016150.863,1.2162628
38016150.868,-5.8083344
38016150.873,4.4484253
38016150.878,-6.7803802
38016150.883,3.292038
38016150.888,-4.510666
38016150.893,0.82839966
38016150.9,-4.474762
38016150.904,-3.3231506
38016150.91,-0.15322876
38016150.913,-3.861847
38016150.918,3.6176453
38016150.922,-3.9121246
38016150.929,3.4716034
38016150.934,-1.1204834
38016150.939,2.975998
38016150.943,-1.9105682
38016150.949,0.45251465
38016150.952,-2.683899
38016150.958,-4.206604
38016150.962,-1.1132965
38016150.968,-5.949585
38016150.971,0.19873047
38016150.978,-5.525818
38016150.982,3.4237213
38016150.988,-6.6510925
38016150.992,4.3933716
38016150.998,-5.250473
38016151.003,3.4835663
38016151.007,-6.3159027
38016151.013,3.02388
38016151.023,-0.19631958
38016151.032,-0.47164917
38016151.037,-1.4628448
38016151.042,-4.103653
38016151.047,5.2624664
38016151.052,-10.647003
38016151.056,3.6176453
38016151.062,-4.893738
38016151.067,-3.2824402
38016151.072,2.296051
38016151.076,-6.2368927
38016151.081,2.7174225
38016151.086,-8.346176
38016151.092,5.707779
38016151.096,-8.427582
38016151.101,1.5466614
38016151.105,-0.58418274
38016151.109,-6.679825
38016151.115,6.035782
38016151.121,-7.6231384
38016151.125,3.0382538
38016151.129,-2.190689
38016151.135,-4.062958
38016151.14,3.782837
38016151.145,-6.9551544
38016151.15,3.0621948
38016151.155,-2.1020966
38016151.161,-4.577713
38016151.164,6.7660217
38016151.175,-0.4118042
38016151.18,2.3702698
38016151.185,-3.9264832
38016151.19,2.6360168
38016151.194,-1.3862305
38016151.205,0.9888153
38016151.214,-0.90979004
38016151.218,-1.7142487
38016151.224,-2.3319397
38016151.229,0.23223877
38016151.234,-4.6950226
38016151.239,-1.8004303
38016151.244,-0.59854126
38016151.249,-4.5322113
38016151.254,-1.5801697
38016151.258,-0.0909729
38016151.263,-2.9281006
38016151.268,-0.0909729
38016151.273,-0.9864044
38016151.278,0.12928772
38016151.283,-1.8076172
38016151.288,-0.9576721
38016151.293,-2.2553253
38016151.298,0.22267151
38016151.303,-3.7565002
38016151.307,0.23942566
38016151.312,-0.56741333
38016151.316,-2.5067291
38016151.323,-1.960846
38016151.327,-0.11491394
38016151.333,-1.1324463
38016151.337,-1.7046661
38016151.342,-0.8786621
38016151.347,-0.33518982
38016151.352,-3.1986542
38016151.357,-0.71347046
38016151.362,-1.850708
38016151.365,-0.9792175
38016151.372,-2.166748
38016151.376,-0.9552765
