userid,floorid,timestamp,gyro_x,gyro_y,gyro_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858664,0.018722534,-0.0030212402,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858670,0.012329102,-8.8500977E-4,0.0021972656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858675,0.007003784,-0.0030212402,0.0021972656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858680,0.002746582,-0.0072784424,0.0021972656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858685,-0.0025787354,-0.0072784424,6.1035156E-5
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858689,-0.005783081,-0.001953125,-0.0031280518
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858696,-0.010040283,0.0012359619,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858700,-0.014297485,0.0012359619,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858705,-0.014297485,0.0012359619,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858710,-0.014297485,1.6784668E-4,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858720,-0.005783081,-0.001953125,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858730,0.0016784668,0.0023040771,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858735,0.0048828125,1.6784668E-4,0.0011291504
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858740,0.007003784,-0.001953125,0.0021972656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858745,0.009140015,-0.0030212402,0.0011291504
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858750,0.008071899,-0.0030212402,0.0021972656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858755,0.008071899,-0.0030212402,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858760,0.0038146973,-0.0030212402,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858765,6.1035156E-4,-0.001953125,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858770,-0.0015106201,-0.001953125,6.1035156E-5
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858774,-0.004714966,-0.001953125,0.0011291504
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858780,-0.005783081,1.6784668E-4,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858784,-0.0036468506,1.6784668E-4,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858789,-0.0068359375,-8.8500977E-4,-0.0031280518
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858795,-0.007904053,-8.8500977E-4,-0.0031280518
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858800,-0.005783081,1.6784668E-4,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858804,-0.005783081,1.6784668E-4,6.1035156E-5
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858809,-0.0025787354,1.6784668E-4,0.0011291504
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858815,6.1035156E-4,-0.001953125,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858820,0.005935669,-0.001953125,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858823,0.005935669,-0.0030212402,-0.0020599365
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858828,0.0048828125,-0.0030212402,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858833,0.0048828125,-0.0030212402,0.0011291504
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858838,0.0048828125,-8.8500977E-4,6.1035156E-5
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858842,0.0038146973,-8.8500977E-4,-0.0010070801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527857858847,0.0016784668,-0.001953125,6.1035156E-5
