userid,floorid,timestamp,gyro_x,gyro_y,gyro_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868172,-0.004714966,-0.0025787354,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868174,0.007003784,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868183,0.012329102,-4.4250488E-4,-0.0017242432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868189,0.011260986,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868193,0.008071899,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868197,0.005935669,-4.4250488E-4,0.0014648438
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868203,0.0038146973,0.0016784668,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868207,-4.5776367E-4,0.002746582,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868211,-0.005783081,0.0016784668,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868217,-0.011108398,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868222,-0.01322937,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868226,-0.01322937,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868231,-0.010040283,-4.4250488E-4,-0.0017242432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868236,-0.005783081,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868242,-4.5776367E-4,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868246,0.0016784668,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868252,0.005935669,-0.0025787354,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868256,0.005935669,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868262,0.008071899,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868266,0.008071899,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868271,0.005935669,0.0016784668,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868277,0.0016784668,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868282,-0.0015106201,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868286,-0.0036468506,-4.4250488E-4,0.0014648438
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868291,-0.0068359375,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868296,-0.007904053,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868301,-0.007904053,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868305,-0.0068359375,6.2561035E-4,-0.0017242432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868310,-0.005783081,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868315,-0.004714966,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868320,-4.5776367E-4,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868325,6.1035156E-4,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868331,0.0038146973,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868336,0.0048828125,6.2561035E-4,0.0014648438
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868340,0.005935669,0.0016784668,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868346,0.002746582,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868351,0.0016784668,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868355,6.1035156E-4,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868360,-0.0025787354,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868365,-0.004714966,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868370,-0.005783081,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868376,-0.004714966,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868380,-0.005783081,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868386,-0.005783081,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868395,-0.0015106201,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868399,0.0016784668,-4.4250488E-4,-0.0017242432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868405,0.002746582,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868410,0.0016784668,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868414,0.0038146973,-4.4250488E-4,0.0014648438
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868419,0.0038146973,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868425,0.0016784668,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868429,0.0016784668,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868435,-0.0015106201,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868439,-0.0025787354,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868444,-0.0036468506,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868449,-0.0068359375,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868454,-0.004714966,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868458,-0.005783081,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868464,-0.004714966,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868472,-0.0015106201,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868474,6.1035156E-4,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868479,-4.5776367E-4,6.2561035E-4,0.0014648438
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868483,0.002746582,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868489,0.002746582,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868493,0.002746582,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868497,0.002746582,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868503,6.1035156E-4,-0.0015106201,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868507,-0.0015106201,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868512,-0.0025787354,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868517,-0.0036468506,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868522,-0.0036468506,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868527,-0.0036468506,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868532,-0.0036468506,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868537,-0.0025787354,-4.4250488E-4,-0.0017242432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868543,-0.0025787354,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868546,-0.0015106201,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868554,6.1035156E-4,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868557,-4.5776367E-4,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868562,0.002746582,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868566,0.0016784668,-0.0015106201,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868572,-4.5776367E-4,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868576,-4.5776367E-4,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868581,-0.0015106201,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868586,-0.0025787354,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868591,-0.0025787354,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868596,-0.0025787354,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868601,-0.0025787354,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868606,-0.0015106201,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868611,-0.0025787354,6.2561035E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868616,-0.0015106201,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868627,-4.5776367E-4,-4.4250488E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868637,6.1035156E-4,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868640,-4.5776367E-4,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868646,-4.5776367E-4,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868652,6.1035156E-4,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868656,-0.0015106201,6.2561035E-4,-6.713867E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868661,-0.0015106201,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868670,6.1035156E-4,-4.4250488E-4,3.9672852E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1527943868671,-0.0025787354,6.2561035E-4,-6.713867E-4
